check_slug,action_text,source_url,source_title,source_date
db-low-tax-burden,Последователна политика,https://www.parliament.bg,,
db-prosecution-and-sjc,"Основен двигател на конституционните промени 2023; законодателни инициативи за разделяне на ВСС; част от реформите са приети, но значително орязани след институционални и политически сблъсъци",https://www.parliament.bg,,
db-judicial-independence,Законопроекти,,,
db-anti-corruption-transparency,Законодателни предложения за реформа на КПКОНПИ; натиск за повече прозрачност в обществени поръчки; ограничен практически ефект върху разследвания и присъди,https://www.parliament.bg,,
db-conflict-of-interest,Предложения в НС,,,
db-school-autonomy,Политически предложения,https://www.mon.bg,,
db-education-quality,Ограничени практически резултати,https://www.mon.bg,,
db-digitalization,Подкрепа на проекти,https://www.mon.bg,,
db-sustainable-pensions,Подкрепа на пенсионни реформи,,,
db-social-support,Подкрепа на социални мерки,,,
db-income-growth,Подкрепа в коалиции,,,
db-green-transition,Подкрепа за ЕС политики за декарбонизация,https://energy.ec.europa.eu,,
db-nuclear-energy,Подкрепа за Козлодуй,https://energy.ec.europa.eu,,
db-energy-diversification,Последователна подкрепа,https://energy.ec.europa.eu,,
db-eurozone,Последователна подкрепа,https://www.minfin.bg,,
db-schengen,Последователна подкрепа,https://www.minfin.bg,,
db-nato,Последователни гласувания,,,
db-military-aid,Всички ключови гласувания,https://www.parliament.bg,,
db-sanctions,Последователна позиция,https://www.parliament.bg,,
db-limit-russian-influence,Последователни инициативи,,,
pp-db-constitutional-changes,Частично приети конституционни промени,https://www.parliament.bg,,
pp-db-anti-corruption-commission-reform,Законодателни промени,https://www.parliament.bg,,
pp-db-eurozone,Законодателна програма,https://www.minfin.bg,,
pp-db-schengen,Дипломатически усилия,https://consilium.europa.eu/,,
pp-db-support-for-ukraine,Парламентарни решения,,,
pp-db-energy-diversification,Продължаване на интерконекторните проекти,,,
pp-db-education-modernization,Финансиране по ПВУ,,,
pp-db-pensions,Бюджетни решения,,,
pp-db-financial-stability,Бюджетни мерки,,,
pp-db-healthcare-digitalization,Продължаване на електронните услуги,,,
